profile #,priority,p values,animal,,human freq.,,80/20 cutoffs
97812756,1,0.003386003,Mus musculus,1,4,,
10280281,1,0.036655394,Mus musculus,2,2,,
112235275,1,1.53E-05,Mus musculus,3,15,,
31511075,1,0.034288557,Mus musculus,4,1,,
97429256,4,0.144927605,Mus musculus,5,1,,
6613981,3,0.296758295,Mus musculus,,0,,
60315108,4,0.346593507,Mus musculus,,,,
58079032,4,0.88372326,Mus musculus,,mouse freq.,,
89268632,4,0.446231206,Mus musculus,1,46,,
50583103,3,0.260736314,Mus musculus,2,9,,
126589556,3,0.490294256,Mus musculus,3,38,,
118815346,1,0.035403943,Mus musculus,4,42,,
34152381,2,0.089812251,Mus musculus,5,0,,
46405502,2,0.087787662,Mus musculus,,0,,
41390795,3,0.634939675,Mus musculus,,,,
6323975,3,nan,Mus musculus,,total freq.,,
19920408,3,0.810713021,Mus musculus,1,50,,
82091375,3,0.757530276,Mus musculus,2,11,,
41757267,3,0.519508523,Mus musculus,3,53,,
106695995,3,0.607424431,Mus musculus,4,43,,
27509349,3,0.306258699,Homo sapiens,5,1,,
36027572,3,0.343793911,Homo sapiens,,0,,
44587049,1,0.001019071,Homo sapiens,,,,
18684572,3,0.6418156,Homo sapiens,,,,
17040003,1,0.044903101,Mus musculus,,,,
94254803,3,0.632640718,Mus musculus,,,,
109268156,4,nan,Mus musculus,,,,
7820781,3,0.177821398,Mus musculus,,,,
28013575,3,0.58410852,Mus musculus,,,,
27532349,2,0.088487351,Homo sapiens,,,,
4338749,3,0.334868557,Homo sapiens,,,,
61948232,3,0.517158573,Mus musculus,,,,
25046181,3,0.271014577,Mus musculus,,,,
6649881,3,0.652354998,Mus musculus,,,,
5421181,4,0.592520519,Mus musculus,,,,
41095775,3,0.76429774,Mus musculus,,,,
29998081,4,0.330038419,Mus musculus,,,,
30178182,4,0.360898833,Mus musculus,,,,
124468432,4,1,Mus musculus,,,,
121294979,4,nan,Mus musculus,,,,
65733432,4,0.698488655,Mus musculus,,,,
40210832,4,nan,Mus musculus,,,,
22803432,4,nan,Mus musculus,,,,
22147032,4,nan,Mus musculus,,,,
16657602,4,nan,Mus musculus,,,,
65865732,1,1.97E-13,Mus musculus,,,,
97155327,4,0.335728591,Mus musculus,,,,
115836003,1,0.000219886,Mus musculus,,,,
30595903,1,2.74E-05,Mus musculus,,,,
19127981,2,0.07382572,Mus musculus,,,,
55259981,1,0.002720779,Mus musculus,,,,
119159675,4,0.249898986,Mus musculus,,,,
116766468,4,0.184286321,Mus musculus,,,,
122715303,1,0.002834261,Mus musculus,,,,
34628243,4,0.292842896,Mus musculus,,,,
131902156,2,0.063453655,Mus musculus,,,,
2700079,2,0.09805471,Homo sapiens,,,,
14505381,3,0.109396402,Mus musculus,,,,
29510503,4,0.272393125,Mus musculus,,,,
49180675,4,nan,Mus musculus,,,,
6627049,3,0.118665232,Homo sapiens,,,,
52133232,4,0.759960375,Mus musculus,,,,
4985967,1,0.030236195,Mus musculus,,,,
48063932,4,0.197879407,Mus musculus,,,,
21940377,3,nan,Homo sapiens,,,,
75634575,1,1.17E-06,Mus musculus,,,,
4877081,1,0.005448698,Mus musculus,,,,
26197695,3,0.127846271,Mus musculus,,,,
38329981,4,nan,Mus musculus,,,,
89306975,2,0.050325222,Mus musculus,,,,
45471603,1,0.014611419,Mus musculus,,,,
9993032,1,0.002904782,Mus musculus,,,,
9155303,1,0.000411501,Mus musculus,,,,
28508781,1,1.24E-14,Mus musculus,,,,
21804875,1,0.001212794,Mus musculus,,,,
125741181,3,0.148675552,Mus musculus,,,,
49063670,3,0.257471864,Mus musculus,,,,
96830856,3,0.855950807,Mus musculus,,,,
12089332,4,0.85920408,Mus musculus,,,,
91044870,3,0.963039609,Homo sapiens,,,,
