"","Amygdala","Anterior_Cingulate_Cortex","Caudate_Basal_Ganglia","Cerebellar_Hemisphere","Cerebellum","value","Frontal_Cortex_BA9","Hippocampus","Hypothalamus","Nucleus_Accumbens_Basal_Ganglia","Putamen_Basal_Ganglia","Spinal_Cord_C1","Substantia_Nigra"
"1",98,80,88,57,71,71,58,95,77,53,37,95,100
"2",65,53,61,66,64,64,67,100,82,96,57,72,100
"3",98,70,56,60,88,88,77,98,97,62,57,99,100
"4",83,84,88,57,70,70,55,94,73,83,72,92,100
"5",99,93,73,83,71,71,59,67,89,65,59,95,100
"6",99,99,69,70,63,63,71,64,88,71,55,100,100
"7",78,97,52,61,64,64,66,100,85,61,39,70,100
"8",100,86,89,67,66,66,52,100,67,68,66,94,100
"9",74,99,39,74,89,89,73,99,85,60,60,95,100
"10",100,73,95,54,78,78,64,100,59,71,59,100,100
"11",74,100,73,82,65,65,60,100,66,81,67,99,100
"12",80,70,50,82,56,56,71,100,97,92,59,92,100
"13",80,88,97,90,75,75,77,100,98,92,79,100,100
"14",91,77,51,71,67,67,58,96,91,71,69,88,100
"15",94,86,97,70,72,72,65,100,84,79,64,100,100
"16",72,69,88,82,79,79,63,96,83,70,80,96,100
"17",95,70,94,63,67,67,62,99,100,99,71,94,100
"18",89,83,87,71,77,77,37,100,92,72,69,79,100
"19",89,86,98,75,78,78,63,98,99,78,41,93,100
"20",65,53,67,71,79,79,65,100,80,67,71,95,100
"21",66,78,83,55,79,79,66,100,96,64,62,81,100
"22",58,69,84,57,75,75,71,99,96,84,63,89,100
"23",93,69,55,83,63,63,70,90,74,39,68,93,100
"24",98,74,78,41,78,78,75,100,80,62,64,61,100
"25",69,64,91,71,78,78,58,82,96,50,51,85,100
"26",61,71,68,95,68,68,73,81,88,64,55,97,100
"27",51,88,73,67,56,56,78,100,78,76,56,99,100
"28",78,97,85,73,65,65,69,94,92,79,67,86,100
"29",96,65,67,68,68,68,70,94,94,90,77,98,100
"30",95,85,71,76,90,90,53,100,90,89,51,96,100
"31",93,73,86,69,71,71,71,98,81,65,57,61,100
"32",96,78,84,63,87,87,39,100,92,64,63,61,100
"33",97,85,68,61,64,64,56,96,76,49,67,99,100
"34",65,71,69,66,60,60,60,71,95,53,64,95,100
"35",98,68,97,81,68,68,57,99,77,61,64,95,100
"36",100,86,86,59,79,79,68,98,75,68,72,99,100
"37",99,63,43,62,77,77,66,97,100,82,52,96,100
"38",100,69,63,69,66,66,70,96,100,76,53,58,100
"39",86,97,71,70,78,78,67,99,100,74,44,51,100
"40",100,75,68,53,77,77,53,100,90,45,61,90,100
"41",40,94,87,64,75,75,58,100,93,52,77,100,100
"42",73,89,94,57,39,39,60,100,89,63,51,98,100
"43",51,91,40,79,69,69,72,94,100,81,41,80,100
"44",92,80,69,66,74,74,68,100,93,65,59,99,100
"45",81,63,57,78,73,73,58,100,75,73,53,85,100
"46",97,70,59,55,75,75,76,98,91,40,54,99,100
"47",95,90,32,62,66,66,70,98,99,78,69,84,100
"48",99,72,66,56,66,66,62,100,92,64,67,88,100
"49",56,69,68,58,68,68,71,100,92,91,62,68,100
"50",99,68,91,73,58,58,57,98,96,52,40,81,100
"51",67,37,81,57,60,60,59,100,87,80,62,99,100
"52",84,97,77,81,67,67,78,100,86,84,55,97,100
"53",74,91,82,85,70,70,67,99,92,66,36,95,100
"54",98,69,91,57,72,72,65,65,86,60,37,100,100
"55",88,91,65,64,64,64,69,99,94,73,61,96,100
"56",56,81,63,59,71,71,61,97,98,81,40,96,100
"57",80,54,74,54,62,62,54,100,97,67,52,64,100
"58",78,91,77,61,64,64,64,97,100,64,54,99,100
"59",84,89,52,64,97,97,77,92,100,72,51,99,100
"60",87,64,100,67,58,58,65,100,79,75,68,71,100
"61",87,84,99,72,66,66,62,100,76,84,59,100,100
"62",100,66,84,60,69,69,49,70,100,64,38,62,100
"63",73,80,70,79,86,86,83,93,100,53,40,100,100
"64",86,93,52,68,67,67,64,98,98,72,56,65,100
"65",82,75,69,70,75,75,54,84,74,69,68,98,100
"66",53,86,75,65,66,66,59,96,89,49,39,97,100
"67",78,91,75,82,46,46,56,94,78,40,51,99,100
"68",94,100,94,75,65,65,76,99,89,56,74,99,100
"69",98,65,64,77,64,64,61,100,98,81,51,89,100
"70",100,45,72,69,76,76,75,61,87,76,37,98,100
"71",98,83,78,57,75,75,40,89,71,71,60,100,100
"72",74,70,79,67,60,60,52,100,99,84,54,92,100
"73",99,64,83,64,70,70,74,90,94,64,64,95,100
"74",76,79,78,77,57,57,57,87,92,62,71,98,100
"75",64,64,72,62,80,80,65,100,88,50,70,100,100
"76",56,90,80,67,66,66,70,97,82,68,38,98,100
"77",72,62,85,39,79,79,53,85,96,64,55,96,100
"78",63,95,75,90,75,75,62,100,98,61,62,86,100
"79",61,80,73,57,60,60,67,96,100,72,68,89,100
"80",96,77,93,81,69,69,61,97,90,67,40,52,100
"81",83,100,63,81,69,69,55,96,88,76,40,89,100
"82",79,90,69,65,64,64,71,100,100,85,56,92,100
"83",93,97,59,39,70,70,62,99,73,96,50,75,100
"84",61,97,64,76,71,71,39,91,97,57,62,95,100
"85",64,90,60,53,68,68,58,100,95,81,78,72,100
"86",71,100,52,79,75,75,75,99,99,68,57,95,100
"87",70,93,90,77,63,63,76,100,93,79,67,92,100
"88",96,85,89,86,74,74,71,100,96,39,70,92,100
"89",71,68,67,64,63,63,75,100,94,66,72,82,100
"90",67,69,64,72,80,80,72,99,90,51,56,89,100
"91",75,67,83,81,67,67,65,96,87,61,80,75,100
"92",67,96,73,72,57,57,91,100,100,86,75,73,100
"93",60,84,79,74,76,76,71,99,78,80,68,87,100
"94",100,70,69,86,50,50,68,100,99,99,55,63,100
"95",99,67,66,81,61,61,64,100,93,66,78,97,100
"96",89,68,39,92,68,68,65,81,89,94,71,97,100
"97",86,93,53,77,81,81,38,93,81,66,64,97,100
"98",68,79,83,69,65,65,71,89,93,95,50,75,100
"99",55,73,85,70,62,62,58,93,81,81,61,89,100
"100",60,78,66,64,83,83,67,92,81,47,63,65,100
"101",56,98,89,62,70,70,51,99,84,84,37,80,100
"102",84,78,86,58,71,71,79,75,83,77,58,87,100
