gene_id	type	gene_type	gene_name	seqnames	logFC	AveExpr	t	P.Value	adj.P.Val	B
TTR	ENSG00000118271.9	gene	protein_coding	TTR	chr18	5.28546225000287	7.08640541235117	21.5442477865973	3.55168975572536e-53	8.64126117567981e-49	106.375378733839
FOLR1	ENSG00000110195.12	gene	protein_coding	FOLR1	chr11	1.72410798525595	2.74748434259477	8.72639328803535	1.24614736185396e-15	1.06766440251061e-11	24.7091432295853
GPR150	ENSG00000178015.4	gene	protein_coding	GPR150	chr5	-0.780574430867781	1.6718247775996	-8.7177198591223	1.31647891801555e-15	1.06766440251061e-11	24.4836617347049
SLC13A4	ENSG00000164707.15	gene	protein_coding	SLC13A4	chr7	1.24729820918769	2.13789091501678	7.66499939017559	8.59280535702638e-13	5.22657385841129e-09	18.5167216902035
RP11-805F19.3	ENSG00000279042.1	gene	TEC	RP11-805F19.3	chr18	-1.40552640050945	2.66651344869415	-7.52806951922315	1.93834257695239e-12	9.43197497945034e-09	17.813546564118
ZNF519	ENSG00000175322.11	gene	protein_coding	ZNF519	chr18	-0.50139887732784	2.43800727907464	-7.39390096856142	4.26993192633773e-12	1.48410633953996e-08	17.009215195885
OR14I1	ENSG00000189181.4	gene	protein_coding	OR14I1	chr1	-0.853950849292701	1.2582363334169	-7.4051143804524	3.99832239217093e-12	1.48410633953996e-08	16.9639988451542
LY86-AS1	ENSG00000216863.9	gene	antisense	LY86-AS1	chr6	-1.1258663173551	1.99049163804233	-7.365530365461	5.04121702931584e-12	1.53316012904068e-08	16.8828778641783
RP11-416N2.4	ENSG00000273108.1	gene	antisense	RP11-416N2.4	chr10	-0.900540324956487	3.71378511453461	-7.28926767338146	7.86427157389161e-12	2.1259747488087e-08	16.4957048943152
SEPHS1P1	ENSG00000182722.5	gene	processed_pseudogene	SEPHS1P1	chr7	-0.602603336085519	1.812831844779	-7.23725596196626	1.06354278817566e-11	2.58759960363138e-08	16.0838145669978
SLC37A1	ENSG00000160190.13	gene	protein_coding	SLC37A1	chr21	-0.435964672114602	3.26133117273495	-7.13176658688074	1.95472170819287e-11	4.32348901457568e-08	15.6138068615321
