type	gene_type	gene_name	gene_id	seqnames	logFC	AveExpr	t	P.Value	adj.P.Val	B
TTR	gene	protein_coding	TTR	ENSG00000118271.9	chr18	4.93394449246335	6.94898388751327	18.2924166475719	7.27852150326992e-39	1.70455695085078e-34	74.2263107893999
GPR150	gene	protein_coding	GPR150	ENSG00000178015.4	chr5	-0.777976964457715	1.646391444512	-7.38675941891225	1.25436777661918e-11	1.46880194803223e-07	15.6841334213564
SLC13A4	gene	protein_coding	SLC13A4	ENSG00000164707.15	chr7	1.21038889026292	2.01037888411387	7.27286789533926	2.31594706665987e-11	1.80790547847025e-07	15.2947839041278
FOLR1	gene	protein_coding	FOLR1	ENSG00000110195.12	chr11	1.64829097079331	2.66402482925445	6.93184697120838	1.41751697456615e-10	8.29920750684115e-07	13.5553733516525
VIPR1	gene	protein_coding	VIPR1	ENSG00000114812.12	chr3	-0.951669344066721	3.42687146673518	-6.62756057889585	6.9037039226414e-10	2.69463070273898e-06	12.2269892227285
RGS6	gene	protein_coding	RGS6	ENSG00000182732.16	chr14	-0.724314886511025	2.28208932941085	-6.64399202953716	6.34345237394843e-10	2.69463070273898e-06	12.2243727818135
CACNG2	gene	protein_coding	CACNG2	ENSG00000166862.6	chr22	-0.823306214292242	2.53822972626362	-6.53920477860144	1.08636472951426e-09	3.63451080007063e-06	11.7588118923678
RP11-881M11.4	gene	antisense	RP11-881M11.4	ENSG00000256196.1	chr11	-0.779350409696703	1.37335891808744	-6.4737140442259	1.51733570983766e-09	4.44181062358602e-06	11.2682891405983
EPOP	gene	protein_coding	EPOP	ENSG00000273604.1	chr17	-0.829459628323661	3.15835587906	-6.36543203976398	2.62665025997889e-09	6.83483582649395e-06	10.9531050400109
OR14I1	gene	protein_coding	OR14I1	ENSG00000189181.4	chr1	-0.84501579413013	1.25544323136013	-6.29908563582144	3.66792740534092e-09	8.58991919056791e-06	10.4858306744535
GNG13	gene	protein_coding	GNG13	ENSG00000127588.4	chr16	-1.27829493259902	1.6950634919365	-6.26834731233849	4.27901893420191e-09	9.11003131091588e-06	10.4052978315942
EPB41L4B	gene	protein_coding	EPB41L4B	ENSG00000095203.14	chr9	-0.834133993679584	3.10842692719031	-6.20652757832274	5.82673710731333e-09	1.04966427935516e-05	10.1988502786544
NOS2	gene	protein_coding	NOS2	ENSG00000007171.16	chr17	-0.612147438581811	1.96414492424433	-6.22733517891185	5.25257950300266e-09	1.02508466150683e-05	10.1887535336752
RP11-192H23.4	gene	protein_coding	RP11-192H23.4	ENSG00000258472.8	chr17	-0.742854917759182	3.82540767401222	-6.18643647006162	6.43950125512746e-09	1.07719057067021e-05	10.1090231383844
CHAF1B	gene	protein_coding	CHAF1B	ENSG00000159259.7	chr21	-0.418749956907347	2.09792303000966	-6.138411739639	8.17255774824714e-09	1.27595419937467e-05	9.79449395810144
RP11-197K6.1	gene	lincRNA	RP11-197K6.1	ENSG00000223812.5	chr3	-1.23158224962085	1.69557042233956	-6.11845113597415	9.02096780876674e-09	1.32038778195943e-05	9.69633449360136
CPNE5	gene	protein_coding	CPNE5	ENSG00000124772.11	chr6	-0.892134476462287	4.44857787211664	-6.09453053578092	1.01522122677862e-08	1.36159220030856e-05	9.67748426805437
LY86-AS1	gene	antisense	LY86-AS1	ENSG00000216863.9	chr6	-1.0752839267817	1.97811780448285	-6.08837279094537	1.04652886995833e-08	1.36159220030856e-05	9.62126394966056
CPNE9	gene	protein_coding	CPNE9	ENSG00000144550.12	chr3	-1.06136172845916	2.54678486547579	-6.03045676815575	1.39143932500662e-08	1.71505881854368e-05	9.3588629961906
CDYL2	gene	protein_coding	CDYL2	ENSG00000166446.14	chr16	-0.435574592296195	3.46490870564	-6.00436184555684	1.5812380436246e-08	1.84464813167291e-05	9.25691439012354
DLEU7	gene	protein_coding	DLEU7	ENSG00000186047.9	chr13	-0.476606651874903	2.5150247398975	-5.98778115186802	1.71480695683171e-08	1.84464813167291e-05	9.15674494523948
EIF4E1B	gene	protein_coding	EIF4E1B	ENSG00000175766.11	chr5	-0.739442267819514	2.06747788174687	-5.98563594867104	1.73287753092805e-08	1.84464813167291e-05	9.11310011059957
HTR5A-AS1	gene	antisense	HTR5A-AS1	ENSG00000220575.7	chr7	-0.959860544191289	2.61514710772562	-5.94710214776913	2.09119580429143e-08	1.9445972124669e-05	8.98838825285354
LINC01007	gene	lincRNA	LINC01007	ENSG00000233123.1	chr7	-1.27769920612022	1.3843706645085	-5.95706180890733	1.99216120002166e-08	1.9439342976378e-05	8.95681504689374
MCHR2	gene	protein_coding	MCHR2	ENSG00000152034.10	chr6	-0.85313600257964	0.902782540471976	-5.97322464541876	1.84115454349973e-08	1.87469557627044e-05	8.93662194790336
HECW1	gene	protein_coding	HECW1	ENSG00000002746.14	chr7	-0.741531637970981	2.09928620235224	-5.9405551954697	2.15891060780304e-08	1.9445972124669e-05	8.92217008016324
PRC1	gene	protein_coding	PRC1	ENSG00000198901.13	chr15	-0.333745244240584	2.64034213830857	-5.92031111813358	2.38219304689853e-08	2.0662436653821e-05	8.84343310410215
TPPP3	gene	protein_coding	TPPP3	ENSG00000159713.10	chr16	0.906994588253208	8.08534316814662	5.88732064623526	2.7955006146113e-08	2.33813674619936e-05	8.71772356044529
HN1L	gene	protein_coding	HN1L	ENSG00000206053.12	chr16	0.772297201683618	5.1359247094727	5.84823234071278	3.37681719928032e-08	2.63605606633153e-05	8.53812452956743
