type	gene_type	gene_name	gene_id	seqnames	logFC	AveExpr	t	P.Value	adj.P.Val	B
TTR	gene	protein_coding	TTR	ENSG00000118271.9	chr18	6.72500605940743	7.45334738060795	10.6465428602472	1.71353224844847e-14	3.7910187464674e-10	21.4413758538111
RP11-286N22.10	gene	lincRNA	RP11-286N22.10	ENSG00000255931.1	chr11	-1.30382935715637	1.42200843527772	-6.53135187801316	3.15424463045552e-08	0.00024648467138663	8.58607592356394
MREG	gene	protein_coding	MREG	ENSG00000118242.15	chr2	-1.2131644623222	3.45354912848301	-6.48827255327884	3.68528889497813e-08	0.00024648467138663	8.5823426933025
INHBA-AS1	gene	antisense	INHBA-AS1	ENSG00000224116.6	chr7	-1.59169759829571	2.96844594491933	-6.3836092904589	5.37719371705841e-08	0.00024648467138663	8.23079064862804
JPH1	gene	protein_coding	JPH1	ENSG00000104369.4	chr8	-1.58839081642564	3.78097885759795	-6.30377360436079	7.17142476603342e-08	0.00024648467138663	7.97068518622052
SEPHS1P1	gene	processed_pseudogene	SEPHS1P1	ENSG00000182722.5	chr7	-1.12978305326557	1.80826617238921	-6.36405799266917	5.77018140040517e-08	0.00024648467138663	7.88823114528149
RP11-863P13.5	gene	lincRNA	RP11-863P13.5	ENSG00000261193.1	chr16	-1.41335820626309	2.37101995921043	-6.28050909405171	7.79873756873265e-08	0.00024648467138663	7.86787864205249
PSPC1P1	gene	unprocessed_pseudogene	PSPC1P1	ENSG00000227879.2	chr13	-1.75446395965267	1.97516007060733	-6.17153293732112	1.15470471968215e-07	0.000313199410014274	7.48352378144696
LINC01616	gene	lincRNA	LINC01616	ENSG00000261340.1	chr11	-1.80436543473205	2.90815894076412	-6.13937248315195	1.29634580983278e-07	0.000313199410014274	7.41242090767743
DNAH10OS	gene	protein_coding	DNAH10OS	ENSG00000250091.2	chr12	-1.05787862055125	3.34612467965278	-6.06540693592795	1.69118072633103e-07	0.000340142567175888	7.14303155521277
ACVR1C	gene	protein_coding	ACVR1C	ENSG00000123612.15	chr2	-1.29007716149131	2.90578144770891	-5.94764499699707	2.58052003525778e-07	0.000407795894714593	6.75563924759611
