type	gene_type	gene_name	gene_id	seqnames	logFC	AveExpr	t	P.Value	adj.P.Val	B
TTR	gene	protein_coding	TTR	ENSG00000118271.9	chr18	5.2854962944053	7.08641859568802	21.5444123917454	3.54804450822662e-53	8.63239228851537e-49	106.376669157036
FOLR1	gene	protein_coding	FOLR1	ENSG00000110195.12	chr11	1.72410349546053	2.74749752593162	8.72650764745024	1.24524718904475e-15	1.06701486421945e-11	24.7098216315226
GPR150	gene	protein_coding	GPR150	ENSG00000178015.4	chr5	-0.780571157818745	1.67183796093645	-8.7178162410056	1.31567800766887e-15	1.06701486421945e-11	24.4843426675515
SLC13A4	gene	protein_coding	SLC13A4	ENSG00000164707.15	chr7	1.24731289755209	2.13790409835363	7.66504782661622	8.59032992237542e-13	5.22506817528485e-09	18.5169986268779
RP11-805F19.3	gene	TEC	RP11-805F19.3	ENSG00000279042.1	chr18	-1.40550162438985	2.666526632031	-7.5279312095637	1.93993034310581e-12	9.43970104955286e-09	17.8127639041055
ZNF519	gene	protein_coding	ZNF519	ENSG00000175322.11	chr18	-0.501385015127083	2.43802046241149	-7.39346111713071	4.28095311064275e-12	1.4879369883134e-08	17.0067607278107
OR14I1	gene	protein_coding	OR14I1	ENSG00000189181.4	chr1	-0.853978507091974	1.25824951675375	-7.40522769089942	3.99567018558155e-12	1.4879369883134e-08	16.9646793068526
LY86-AS1	gene	antisense	LY86-AS1	ENSG00000216863.9	chr6	-1.12590015928323	1.99050482137919	-7.36535428525326	5.04641394076555e-12	1.53474063973532e-08	16.8818931591034
RP11-416N2.4	gene	antisense	RP11-416N2.4	ENSG00000273108.1	chr10	-0.900550917385907	3.71379829787146	-7.28943676045904	7.85654937257139e-12	2.12388718038513e-08	16.496649191405
SEPHS1P1	gene	processed_pseudogene	SEPHS1P1	ENSG00000182722.5	chr7	-0.602615767221829	1.81284502811585	-7.23711766672142	1.06439594139576e-11	2.58967532541589e-08	16.0830693704603
SLC37A1	gene	protein_coding	SLC37A1	ENSG00000160190.13	chr21	-0.435968456233241	3.2613443560718	-7.13168167558806	1.9556772071615e-11	4.32560240456722e-08	15.6133362597238
NT5DC1	gene	protein_coding	NT5DC1	ENSG00000178425.13	chr6	0.638667709216958	4.51505047245886	7.07652562713171	2.68324119564509e-11	5.15721092152528e-08	15.316207526825
TPPP3	gene	protein_coding	TPPP3	ENSG00000159713.10	chr16	0.892062212086519	8.03517890955976	7.06651005450212	2.8414493074931e-11	5.15721092152528e-08	15.254582184592
CACNA1C	gene	protein_coding	CACNA1C	ENSG00000151067.21	chr12	-0.612319973723638	2.91998375359448	-7.05891233859517	2.96756896429733e-11	5.15721092152528e-08	15.2097025807649
DLEU7	gene	protein_coding	DLEU7	ENSG00000186047.9	chr13	-0.48181979982804	2.53397785565673	-7.00100746613885	4.12835351578056e-11	6.69618940259607e-08	14.8677846744184
PLB1	gene	protein_coding	PLB1	ENSG00000163803.12	chr2	-0.527998671430832	2.13751507144889	-6.94758413396602	5.59077414135738e-11	8.50147092870156e-08	14.5325690022792
RP11-192H23.4	gene	protein_coding	RP11-192H23.4	ENSG00000258472.8	chr17	-0.711809808175127	3.83417452354785	-6.92467263888248	6.36470248292679e-11	8.68932498036206e-08	14.4867715664542
