gene_id	type	gene_type	gene_name	seqnames	logFC	AveExpr	t	P.Value	adj.P.Val	B
TTR	ENSG00000118271.9	gene	protein_coding	TTR	chr18	5.28546225000287	7.08640541235117	21.5442477865973	3.55168975572536e-53	8.64126117567981e-49	106.375378733839
FOLR1	ENSG00000110195.12	gene	protein_coding	FOLR1	chr11	1.72410798525595	2.74748434259477	8.72639328803535	1.24614736185396e-15	1.06766440251061e-11	24.7091432295853
SLC13A4	ENSG00000164707.15	gene	protein_coding	SLC13A4	chr7	1.24729820918769	2.13789091501678	7.66499939017559	8.59280535702638e-13	5.22657385841129e-09	18.5167216902035
RP11-805F19.3	ENSG00000279042.1	gene	TEC	RP11-805F19.3	chr18	-1.40552640050945	2.66651344869415	-7.52806951922315	1.93834257695239e-12	9.43197497945034e-09	17.813546564118
LY86-AS1	ENSG00000216863.9	gene	antisense	LY86-AS1	chr6	-1.1258663173551	1.99049163804233	-7.365530365461	5.04121702931584e-12	1.53316012904068e-08	16.8828778641783
RP11-863P13.6	ENSG00000260166.1	gene	lincRNA	RP11-863P13.6	chr16	-1.00202014471514	1.73168910251729	-6.87894985860753	8.23815417989568e-11	9.11064959985736e-08	14.2024439668684
GJB1	ENSG00000169562.9	gene	protein_coding	GJB1	chrX	1.24598604232943	6.19815498016745	6.81857271482425	1.15650785003804e-10	1.12551343965702e-07	13.9131026950013
ADRA1B	ENSG00000170214.3	gene	protein_coding	ADRA1B	chr5	-1.0906377605605	3.16235371390221	-6.75317918716267	1.66673680883545e-10	1.39833470892988e-07	13.563152271737
KLK6	ENSG00000167755.14	gene	protein_coding	KLK6	chr19	1.29372670804857	6.96223685171421	6.63850330281934	3.14815490537717e-10	2.18841739565219e-07	12.9540161639551
HAGLR	ENSG00000224189.6	gene	antisense	HAGLR	chr2	1.16070922521474	3.9256077041826	6.56720040041435	4.65998042185008e-10	2.83443309159031e-07	12.5768513612201
CDH9	ENSG00000113100.9	gene	protein_coding	CDH9	chr5	-1.05243849413462	2.67419616549519	-6.44659982132929	8.99457243938817e-10	4.07983452530974e-07	11.9498129780431
