type	gene_type	gene_name	gene_id	seqnames	logFC	AveExpr	t	P.Value	adj.P.Val	B
TTR	gene	protein_coding	TTR	ENSG00000118271.9	chr18	4.93394449246335	6.94898388751327	18.2924166475719	7.27852150326992e-39	1.70455695085078e-34	74.2263107893999
SLC13A4	gene	protein_coding	SLC13A4	ENSG00000164707.15	chr7	1.21038889026292	2.01037888411387	7.27286789533926	2.31594706665987e-11	1.80790547847025e-07	15.2947839041278
FOLR1	gene	protein_coding	FOLR1	ENSG00000110195.12	chr11	1.64829097079331	2.66402482925445	6.93184697120838	1.41751697456615e-10	8.29920750684115e-07	13.5553733516525
GNG13	gene	protein_coding	GNG13	ENSG00000127588.4	chr16	-1.27829493259902	1.6950634919365	-6.26834731233849	4.27901893420191e-09	9.11003131091588e-06	10.4052978315942
RP11-197K6.1	gene	lincRNA	RP11-197K6.1	ENSG00000223812.5	chr3	-1.23158224962085	1.69557042233956	-6.11845113597415	9.02096780876674e-09	1.32038778195943e-05	9.69633449360136
LY86-AS1	gene	antisense	LY86-AS1	ENSG00000216863.9	chr6	-1.0752839267817	1.97811780448285	-6.08837279094537	1.04652886995833e-08	1.36159220030856e-05	9.62126394966056
CPNE9	gene	protein_coding	CPNE9	ENSG00000144550.12	chr3	-1.06136172845916	2.54678486547579	-6.03045676815575	1.39143932500662e-08	1.71505881854368e-05	9.3588629961906
LINC01007	gene	lincRNA	LINC01007	ENSG00000233123.1	chr7	-1.27769920612022	1.3843706645085	-5.95706180890733	1.99216120002166e-08	1.9439342976378e-05	8.95681504689374
CUX2	gene	protein_coding	CUX2	ENSG00000111249.13	chr12	-1.01096079174117	1.98056771345958	-5.82538626666401	3.76983123586217e-08	2.84792508750504e-05	8.40883749155879
LINC00507	gene	lincRNA	LINC00507	ENSG00000256193.5	chr12	-1.16751043372179	1.2521850807644	-5.8133320538992	3.9949196430378e-08	2.92365697250944e-05	8.30740875217303
