type	gene_type	gene_name	gene_id	seqnames	logFC	AveExpr	t	P.Value	adj.P.Val	B
FOLR1	gene	protein_coding	FOLR1	ENSG00000110195.12	chr11	2.33181115210066	2.74749752593162	17.4291910549939	1.9132998230058e-41	4.65505846937311e-37	83.1458115468864
SLC47A2	gene	protein_coding	SLC47A2	ENSG00000180638.17	chr17	3.21060281962687	3.16396062051771	13.7406459437391	2.19266558001709e-30	2.66737767809079e-26	58.2647836516826
SPAG6	gene	protein_coding	SPAG6	ENSG00000077327.15	chr10	2.89565813412042	3.0755610835278	13.4624085163607	1.52536533211193e-29	1.18844356240587e-25	56.3445794957144
FAM183A	gene	protein_coding	FAM183A	ENSG00000186973.10	chr1	3.03952082447552	3.54220367473314	13.4268892418453	1.95387350991511e-29	1.18844356240587e-25	56.1497978195632
CAPS	gene	protein_coding	CAPS	ENSG00000105519.15	chr19	2.03730216433042	6.09646032982748	13.3831280296381	2.65069669336523e-29	1.28982901099152e-25	55.9138284428425
CFAP157	gene	protein_coding	CFAP157	ENSG00000160401.14	chr9	3.50174779247596	3.82514852697461	13.2978993499774	4.80077787050831e-29	1.94671542649112e-25	55.2810898866461
SPAG8	gene	protein_coding	SPAG8	ENSG00000137098.13	chr9	1.89529107186352	4.41707144553239	13.2161880798279	8.48337958551566e-29	2.94858036165137e-25	54.7528408433225
TCTEX1D1	gene	protein_coding	TCTEX1D1	ENSG00000152760.9	chr1	2.11685065952357	3.64090802907994	13.1866815131637	1.04193795563718e-28	3.16879380758157e-25	54.5160289223461
ZMYND10	gene	protein_coding	ZMYND10	ENSG00000004838.13	chr3	2.13433313846211	3.46710962295688	13.0735356726258	2.29134547621302e-28	6.1942706040292e-25	53.7299704059319
IQCG	gene	protein_coding	IQCG	ENSG00000114473.13	chr3	1.11409792204119	4.5486097675244	12.8253059338479	1.28947356108941e-27	3.09397448216145e-24	52.0864223002996
CFAP73	gene	protein_coding	CFAP73	ENSG00000186710.11	chr12	3.07666256722533	3.45158640666986	12.8136022964097	1.39883762037714e-27	3.09397448216145e-24	51.9461973085548
RP11-467J12.4	gene	protein_coding	RP11-467J12.4	ENSG00000277639.2	chr16	2.7061052736609	2.67921863201682	12.7362107383582	2.39606619271405e-27	4.85802420572774e-24	51.3536845420128
CAPSL	gene	protein_coding	CAPSL	ENSG00000152611.11	chr5	2.68191919242426	3.03738470594057	12.7099298027112	2.87638515882804e-27	5.3832654549451e-24	51.2131168973307
PIFO	gene	protein_coding	PIFO	ENSG00000173947.13	chr1	1.7037901300287	3.66201709640405	12.5961334864761	6.34274417689812e-27	1.10227832731379e-23	50.4753478579892
DRC1	gene	protein_coding	DRC1	ENSG00000157856.10	chr2	1.83129511084698	3.04199798102424	12.5343583972064	9.74099162578894e-27	1.57998884170297e-23	50.0283918147204
FOXJ1	gene	protein_coding	FOXJ1	ENSG00000129654.7	chr17	2.72491723055098	4.12734738882433	12.4508372595827	1.73935794283733e-26	2.64491117182701e-23	49.4932781567187
CCDC78	gene	protein_coding	CCDC78	ENSG00000162004.16	chr16	1.88071130247553	4.50853719517205	12.441065714027	1.8613855040554e-26	2.66397113609812e-23	49.4461070123683
CCDC114	gene	protein_coding	CCDC114	ENSG00000105479.15	chr19	2.73950895305071	3.28458512679339	11.9802507873047	4.525603176011e-25	6.11710695957487e-22	46.263087258288
CFAP45	gene	protein_coding	CFAP45	ENSG00000213085.9	chr1	2.67746339226343	2.91266171938036	11.8493253496353	1.1174478753495e-24	1.43092141090807e-21	45.3539714949763
FAM81B	gene	protein_coding	FAM81B	ENSG00000153347.9	chr5	2.16354513298045	2.40229135599655	11.8178015103334	1.38884582995377e-24	1.68953095213876e-21	45.0868920502452
RP11-356K23.1	gene	antisense	RP11-356K23.1	ENSG00000258752.1	chr14	3.03434171945875	2.94586257091603	11.792355042168	1.6551980062655e-24	1.9176651186876e-21	44.9885809959488
CFAP52	gene	protein_coding	CFAP52	ENSG00000166596.14	chr17	2.07761706836403	3.01189604416285	11.73384806738	2.47712837189848e-24	2.73947878583137e-21	44.60210679674
AK7	gene	protein_coding	AK7	ENSG00000140057.8	chr14	1.58940210837032	2.58259882372446	11.717419937307	2.77389909523654e-24	2.86519001281456e-21	44.457581391977
RSPH4A	gene	protein_coding	RSPH4A	ENSG00000111834.12	chr6	1.70817994727802	2.73342235877654	11.7147011174646	2.82632800277639e-24	2.86519001281456e-21	44.4483466247527
ROPN1L	gene	protein_coding	ROPN1L	ENSG00000145491.11	chr5	2.06584589649911	3.22473420755275	11.6811445528425	3.56094414926412e-24	3.46551084606384e-21	44.2567625385751
