type	gene_type	gene_name	gene_id	seqnames	logFC	AveExpr	t	P.Value	adj.P.Val	B
gene	protein_coding	TTR	ENSG00000118271.9	chr18	5.285496294	7.086418596	21.54441239	3.55E-53	8.63E-49	106.3766692
gene	protein_coding	FOLR1	ENSG00000110195.12	chr11	1.724103495	2.747497526	8.726507647	1.25E-15	1.07E-11	24.70982163
gene	protein_coding	SLC13A4	ENSG00000164707.15	chr7	1.247312898	2.137904098	7.665047827	8.59E-13	5.23E-09	18.51699863
gene	TEC	RP11-805F19.3	ENSG00000279042.1	chr18	-1.405501624	2.666526632	-7.52793121	1.94E-12	9.44E-09	17.8127639
gene	antisense	LY86-AS1	ENSG00000216863.9	chr6	-1.125900159	1.990504821	-7.365354285	5.05E-12	1.53E-08	16.88189316
gene	lincRNA	RP11-863P13.6	ENSG00000260166.1	chr16	-1.002073162	1.731702286	-6.878957832	8.24E-11	9.11E-08	14.20248638
gene	protein_coding	GJB1	ENSG00000169562.9	chrX	1.245986443	6.198168164	6.818755243	1.16E-10	1.12E-07	13.91408332
gene	protein_coding	ADRA1B	ENSG00000170214.3	chr5	-1.090693849	3.162366897	-6.753503881	1.66E-10	1.40E-07	13.56488704
gene	protein_coding	KLK6	ENSG00000167755.14	chr19	1.29374365	6.962250035	6.638749618	3.14E-10	2.19E-07	12.95531656
gene	antisense	HAGLR	ENSG00000224189.6	chr2	1.160711779	3.925620888	6.567279312	4.66E-10	2.83E-07	12.57726067
gene	protein_coding	CDH9	ENSG00000113100.9	chr5	-1.052433388	2.674209349	-6.446472615	9.00E-10	4.08E-07	11.94915216
gene	lincRNA	RP11-259K15.2	ENSG00000258844.1	chr14	1.157347965	4.706414636	6.410040542	1.10E-09	4.30E-07	11.76157098
gene	protein_coding	RP11-467J12.4	ENSG00000277639.2	chr16	1.822607506	2.679218632	6.392895114	1.20E-09	4.64E-07	11.63078902
gene	protein_coding	MOG	ENSG00000204655.11	chr6	1.081485211	8.840872306	6.378270437	1.30E-09	4.87E-07	11.59761866
gene	antisense	RP11-482M8.3	ENSG00000269935.1	chr16	-1.138481712	4.450146351	-6.263215753	2.41E-09	7.15E-07	11.00017535
gene	protein_coding	CCDC78	ENSG00000162004.16	chr16	1.227193704	4.508537195	6.202299782	3.33E-09	8.53E-07	10.700096
gene	protein_coding	FA2H	ENSG00000103089.8	chr16	1.035086203	6.76871452	6.110934343	5.39E-09	1.17E-06	10.23365399
gene	protein_coding	TMEM125	ENSG00000179178.10	chr1	1.020138425	5.718918947	6.10690524	5.51E-09	1.18E-06	10.20669687
gene	protein_coding	CARNS1	ENSG00000172508.10	chr11	1.169002374	8.04214606	6.065742969	6.83E-09	1.34E-06	10.01904695
gene	lincRNA	RP6-91H8.5	ENSG00000269945.1	chr14	-1.022004771	1.90700094	-6.064355597	6.88E-09	1.34E-06	10.01163769
gene	protein_coding	ANLN	ENSG00000011426.10	chr7	1.032894638	7.181704556	6.045594994	7.59E-09	1.44E-06	9.910532071
gene	lincRNA	RP11-197K6.1	ENSG00000223812.5	chr3	-1.093348789	1.752830971	-6.02330378	8.52E-09	1.50E-06	9.796521708
gene	protein_coding	CNGB1	ENSG00000070729.13	chr16	-1.295614909	2.757512474	-6.004929192	9.38E-09	1.58E-06	9.707442503
gene	protein_coding	CLIC6	ENSG00000159212.12	chr21	1.475998936	3.370130704	5.98842603	1.02E-08	1.69E-06	9.641088383
gene	protein_coding	SLC5A11	ENSG00000158865.12	chr16	1.316354665	5.431622794	5.984149782	1.04E-08	1.71E-06	9.596225831
gene	protein_coding	TF	ENSG00000091513.14	chr3	1.097309255	9.691129801	5.961039275	1.18E-08	1.85E-06	9.506281709
gene	protein_coding	UGT8	ENSG00000174607.10	chr4	1.055314679	6.805075789	5.940250785	1.31E-08	1.92E-06	9.385684636
gene	protein_coding	SLC45A3	ENSG00000158715.5	chr1	1.046215088	5.121354319	5.922275065	1.44E-08	2.04E-06	9.291285884
